Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      27( 54.0)       23( 46.0)       0       0       0       0       0       0       0
  2      23( 46.0)       27( 54.0)       0       0       0       0       0       0       0
  3      14( 56.0)       11( 44.0)       0       0       0       0       0       0       0
  4      14( 56.0)       11( 44.0)       0       0       0       0       0       0       0
  5      15( 60.0)       10( 40.0)       0       0       0       0       0       0       0
  6      12( 48.0)       13( 52.0)       0       0       0       0       0       0       0
  7      17( 34.0)       33( 66.0)       0       0       0       0       0       0       0
  8      20( 40.0)       30( 60.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   142( 47.3)      158( 52.7)       0       0       0       0       0       0       0

