Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
446       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
447       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
448       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
449       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
450       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
451       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
452       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
453       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
454       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
455       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
456       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
457       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
458       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
459       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
460       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
461       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
462       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
463       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
464       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
465       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
466       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
467       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
468       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
469       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
470       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
471       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
472       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
473       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
474       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
475       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
476       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
477       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
478       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
479       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
480       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
481       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
482       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
483       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
484       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
485       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
486       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
487       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
488       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
489       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
490       1( 20.0)        4( 80.0)       0       0       0       0       0       0       0
491       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
492       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
493       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
494       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
495       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
496       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
497       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
498       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
499       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
500       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
501       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
502       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
503       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
504       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
505       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
506       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
507       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
508       1( 20.0)        4( 80.0)       0       0       0       0       0       0       0
509       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
510       2( 40.0)        3( 60.0)       0       0       0       0       0       0       0
511       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
512       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
513       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
514       5(100.0)        0(  0.0)       0       0       0       0       0       0       0
515       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
516       0(  0.0)        5(100.0)       0       0       0       0       0       0       0
517       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
518       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
519       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
520       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
521       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
522       4( 80.0)        1( 20.0)       0       0       0       0       0       0       0
523       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
524       1( 20.0)        4( 80.0)       0       0       0       0       0       0       0
525       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
526       3( 60.0)        2( 40.0)       0       0       0       0       0       0       0
527       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
528       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
529       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
530       2(100.0)        0(  0.0)       0       0       0       0       0       0       0
531       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
532       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
533       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
534       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
535       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
536       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
537       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
538       1( 50.0)        1( 50.0)       0       0       0       0       0       0       0
539       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
540       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
541       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
542       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
543       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
544       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
545       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
546       1( 50.0)        1( 50.0)       0       0       0       0       0       0       0
547       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
548       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
549       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
550       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
551       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
552       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
553       2(100.0)        0(  0.0)       0       0       0       0       0       0       0
554       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
555       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
556       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
557       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
558       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
559       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
560       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
561       1( 50.0)        1( 50.0)       0       0       0       0       0       0       0
562       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
563       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
564       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
565       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
566       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
567       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
568       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
569       0(  0.0)        2(100.0)       0       0       0       0       0       0       0
570       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
571       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
572       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
573       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
574       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
575       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
576       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   552( 65.5)      291( 34.5)       0       0       0       0       0       0       0

