Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      26( 52.0)       24( 48.0)       0       0       0       0       0       0       0
  2      25( 50.0)       25( 50.0)       0       0       0       0       0       0       0
  3      16( 64.0)        9( 36.0)       0       0       0       0       0       0       0
  4      13( 52.0)       12( 48.0)       0       0       0       0       0       0       0
  5      14( 56.0)       11( 44.0)       0       0       0       0       0       0       0
  6      12( 48.0)       13( 52.0)       0       0       0       0       0       0       0
  7      20( 40.0)       30( 60.0)       0       0       0       0       0       0       0
  8      18( 36.0)       32( 64.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   144( 48.0)      156( 52.0)       0       0       0       0       0       0       0

