Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      34( 68.0)       16( 32.0)       0       0       0       0       0       0       0
  2      36( 72.0)       14( 28.0)       0       0       0       0       0       0       0
  3      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  4      18( 72.0)        7( 28.0)       0       0       0       0       0       0       0
  5      17( 68.0)        8( 32.0)       0       0       0       0       0       0       0
  6      13( 52.0)       12( 48.0)       0       0       0       0       0       0       0
  7      33( 66.0)       17( 34.0)       0       0       0       0       0       0       0
  8      32( 64.0)       18( 36.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   203( 67.7)       97( 32.3)       0       0       0       0       0       0       0

