Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      26( 52.0)       24( 48.0)       0       0       0       0       0       0       0
  2      24( 48.0)       26( 52.0)       0       0       0       0       0       0       0
  3      12( 48.0)       13( 52.0)       0       0       0       0       0       0       0
  4       9( 36.0)       16( 64.0)       0       0       0       0       0       0       0
  5      14( 56.0)       11( 44.0)       0       0       0       0       0       0       0
  6      14( 56.0)       11( 44.0)       0       0       0       0       0       0       0
  7      22( 44.0)       28( 56.0)       0       0       0       0       0       0       0
  8      28( 56.0)       22( 44.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   149( 49.7)      151( 50.3)       0       0       0       0       0       0       0

