Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      34( 68.0)       16( 32.0)       0       0       0       0       0       0       0
  2      41( 82.0)        9( 18.0)       0       0       0       0       0       0       0
  3      22( 88.0)        3( 12.0)       0       0       0       0       0       0       0
  4      21( 84.0)        4( 16.0)       0       0       0       0       0       0       0
  5      18( 72.0)        7( 28.0)       0       0       0       0       0       0       0
  6      17( 68.0)        8( 32.0)       0       0       0       0       0       0       0
  7      34( 68.0)       16( 32.0)       0       0       0       0       0       0       0
  8      41( 82.0)        9( 18.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   228( 76.0)       72( 24.0)       0       0       0       0       0       0       0

