Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      34( 68.0)       16( 32.0)       0       0       0       0       0       0       0
  2      41( 82.0)        9( 18.0)       0       0       0       0       0       0       0
  3      21( 84.0)        4( 16.0)       0       0       0       0       0       0       0
  4      16( 64.0)        9( 36.0)       0       0       0       0       0       0       0
  5      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  6      16( 64.0)        9( 36.0)       0       0       0       0       0       0       0
  7      33( 66.0)       17( 34.0)       0       0       0       0       0       0       0
  8      41( 82.0)        9( 18.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   222( 74.0)       78( 26.0)       0       0       0       0       0       0       0

