Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      39( 78.0)       11( 22.0)       0       0       0       0       0       0       0
  2      38( 76.0)       12( 24.0)       0       0       0       0       0       0       0
  3      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  4      21( 84.0)        4( 16.0)       0       0       0       0       0       0       0
  5      22( 88.0)        3( 12.0)       0       0       0       0       0       0       0
  6      22( 88.0)        3( 12.0)       0       0       0       0       0       0       0
  7      35( 70.0)       15( 30.0)       0       0       0       0       0       0       0
  8      36( 72.0)       14( 28.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   233( 77.7)       67( 22.3)       0       0       0       0       0       0       0

