Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      13( 68.4)        6( 31.6)       0       0       0       0       0       0       0
  2      17( 63.0)       10( 37.0)       0       0       0       0       0       0       0
  3       6( 50.0)        6( 50.0)       0       0       0       0       0       0       0
  4       6( 46.2)        7( 53.8)       0       0       0       0       0       0       0
  5       8( 50.0)        8( 50.0)       0       0       0       0       0       0       0
  6       5( 45.5)        6( 54.5)       0       0       0       0       0       0       0
  7      15( 62.5)        9( 37.5)       0       0       0       0       0       0       0
  8      17( 60.7)       11( 39.3)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total    87( 58.0)       63( 42.0)       0       0       0       0       0       0       0

