Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      40( 80.0)       10( 20.0)       0       0       0       0       0       0       0
  2      36( 72.0)       14( 28.0)       0       0       0       0       0       0       0
  3      18( 72.0)        7( 28.0)       0       0       0       0       0       0       0
  4      16( 64.0)        9( 36.0)       0       0       0       0       0       0       0
  5      14( 56.0)       11( 44.0)       0       0       0       0       0       0       0
  6      15( 60.0)       10( 40.0)       0       0       0       0       0       0       0
  7      39( 78.0)       11( 22.0)       0       0       0       0       0       0       0
  8      39( 78.0)       11( 22.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   217( 72.3)       83( 27.7)       0       0       0       0       0       0       0

