Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      40( 80.0)       10( 20.0)       0       0       0       0       0       0       0
  2      41( 82.0)        9( 18.0)       0       0       0       0       0       0       0
  3      19( 76.0)        6( 24.0)       0       0       0       0       0       0       0
  4      19( 76.0)        6( 24.0)       0       0       0       0       0       0       0
  5      22( 88.0)        3( 12.0)       0       0       0       0       0       0       0
  6      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  7      44( 88.0)        6( 12.0)       0       0       0       0       0       0       0
  8      45( 90.0)        5( 10.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   250( 83.3)       50( 16.7)       0       0       0       0       0       0       0

