Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      32( 64.0)       18( 36.0)       0       0       0       0       0       0       0
  2      39( 78.0)       11( 22.0)       0       0       0       0       0       0       0
  3      18( 72.0)        7( 28.0)       0       0       0       0       0       0       0
  4      17( 68.0)        8( 32.0)       0       0       0       0       0       0       0
  5      15( 60.0)       10( 40.0)       0       0       0       0       0       0       0
  6      17( 68.0)        8( 32.0)       0       0       0       0       0       0       0
  7      35( 70.0)       15( 30.0)       0       0       0       0       0       0       0
  8      29( 58.0)       21( 42.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   202( 67.3)       98( 32.7)       0       0       0       0       0       0       0

