Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      41( 82.0)        9( 18.0)       0       0       0       0       0       0       0
  2      38( 76.0)       12( 24.0)       0       0       0       0       0       0       0
  3      17( 68.0)        8( 32.0)       0       0       0       0       0       0       0
  4      18( 72.0)        7( 28.0)       0       0       0       0       0       0       0
  5      18( 72.0)        7( 28.0)       0       0       0       0       0       0       0
  6      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  7      37( 74.0)       13( 26.0)       0       0       0       0       0       0       0
  8      41( 82.0)        9( 18.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   230( 76.7)       70( 23.3)       0       0       0       0       0       0       0

