Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      33( 66.0)       17( 34.0)       0       0       0       0       0       0       0
  2      30( 60.0)       20( 40.0)       0       0       0       0       0       0       0
  3      19( 76.0)        6( 24.0)       0       0       0       0       0       0       0
  4      17( 68.0)        8( 32.0)       0       0       0       0       0       0       0
  5      13( 52.0)       12( 48.0)       0       0       0       0       0       0       0
  6      11( 44.0)       14( 56.0)       0       0       0       0       0       0       0
  7      29( 58.0)       21( 42.0)       0       0       0       0       0       0       0
  8      21( 42.0)       29( 58.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   173( 57.7)      127( 42.3)       0       0       0       0       0       0       0

