Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      43( 86.0)        7( 14.0)       0       0       0       0       0       0       0
  2      29( 58.0)       21( 42.0)       0       0       0       0       0       0       0
  3      16( 64.0)        9( 36.0)       0       0       0       0       0       0       0
  4      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  5      21( 84.0)        4( 16.0)       0       0       0       0       0       0       0
  6      21( 84.0)        4( 16.0)       0       0       0       0       0       0       0
  7      37( 74.0)       13( 26.0)       0       0       0       0       0       0       0
  8      37( 74.0)       13( 26.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   224( 74.7)       76( 25.3)       0       0       0       0       0       0       0

