Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      25( 50.0)       25( 50.0)       0       0       0       0       0       0       0
  2      27( 54.0)       23( 46.0)       0       0       0       0       0       0       0
  3      11( 42.3)       15( 57.7)       0       0       0       0       0       0       0
  4      10( 35.7)       18( 64.3)       0       0       0       0       0       0       0
  5      11( 45.8)       13( 54.2)       0       0       0       0       0       0       0
  6      11( 39.3)       17( 60.7)       0       0       0       0       0       0       0
  7      21( 42.0)       29( 58.0)       0       0       0       0       0       0       0
  8      23( 41.1)       33( 58.9)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   139( 44.6)      173( 55.4)       0       0       0       0       0       0       0

