Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      20( 40.0)       30( 60.0)       0       0       0       0       0       0       0
  2      20( 40.0)       30( 60.0)       0       0       0       0       0       0       0
  3      12( 48.0)       13( 52.0)       0       0       0       0       0       0       0
  4       4( 16.0)       21( 84.0)       0       0       0       0       0       0       0
  5       6( 24.0)       19( 76.0)       0       0       0       0       0       0       0
  6      10( 40.0)       15( 60.0)       0       0       0       0       0       0       0
  7      25( 50.0)       25( 50.0)       0       0       0       0       0       0       0
  8      19( 38.0)       31( 62.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   116( 38.7)      184( 61.3)       0       0       0       0       0       0       0

