Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      42( 84.0)        8( 16.0)       0       0       0       0       0       0       0
  2      33( 66.0)       17( 34.0)       0       0       0       0       0       0       0
  3      15( 60.0)       10( 40.0)       0       0       0       0       0       0       0
  4      12( 48.0)       13( 52.0)       0       0       0       0       0       0       0
  5      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  6      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  7      32( 64.0)       18( 36.0)       0       0       0       0       0       0       0
  8      40( 80.0)       10( 20.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   214( 71.3)       86( 28.7)       0       0       0       0       0       0       0

