Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      26( 52.0)       24( 48.0)       0       0       0       0       0       0       0
  2      29( 58.0)       21( 42.0)       0       0       0       0       0       0       0
  3      12( 48.0)       13( 52.0)       0       0       0       0       0       0       0
  4      16( 64.0)        9( 36.0)       0       0       0       0       0       0       0
  5      16( 64.0)        9( 36.0)       0       0       0       0       0       0       0
  6      18( 72.0)        7( 28.0)       0       0       0       0       0       0       0
  7      20( 40.0)       30( 60.0)       0       0       0       0       0       0       0
  8      39( 78.0)       11( 22.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   176( 58.7)      124( 41.3)       0       0       0       0       0       0       0

